Price,Area,Bedrooms,Bathrooms,Location,Builder,Status
50.41 L,394 ,1 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
1.41 Cr,1183 ,3 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
90 L,1468 ,3 ,2 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
61.35 L,968 ,2 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
44.86 L,685 ,2 ,1 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
1.52 Cr,1960 ,3 ,3 Bathrooms,Sholinganallur,Casa Grand Amethyst,Ready to move
62 L,962 ,2 ,2 Bathrooms,Sholinganallur,Lancor TCP Altura,Ready to move
1.3 Cr,1850 ,3 ,3 Bathrooms,Sholinganallur,ASV Alexandria,Ready to move
91 L,1300 ,3 ,3 Bathrooms,Sholinganallur,Sreenivas Sai Garden,Ready to move
44.5 L,810 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
1.13 Cr,1823 ,3 ,3 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
1.7 Cr,2308 ,4 ,4 Bathrooms,Sholinganallur,Appaswamy Greensville,Ready to move
1 Cr,1400 ,3 ,3 Bathrooms,Sholinganallur,nan,Under Construction
1.11 Cr,993 ,2 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
3.5 Cr,4827 ,4 ,4 Bathrooms,Sholinganallur,nan,Ready to move
86.11 L,1740 ,3 ,nan,Sholinganallur,Casa Grand Royale,Ready to move
1.11 Cr,993 ,2 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
98 L,1589 ,3 ,2 Bathrooms,Sholinganallur,Bhaggyam Srishti,Ready to move
50 L,602 ,1 ,1 Bathrooms,Sholinganallur,nan,Ready to move
1.39 Cr,1185 ,3 ,nan,Sholinganallur,Prestige Courtyards,Ready to move
45.19 L,690 ,2 ,1 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
3.98 Cr,4686 ,4 ,5 Bathrooms,Sholinganallur,Adroit Magnifiq,Ready to move
79.51 L,1133 ,3 ,2 Bathrooms,Sholinganallur,nan,Ready to move
1.39 Cr,1856 ,3 ,3 Bathrooms,Sholinganallur,Adroit Artistica,Ready to move
44.5 L,814 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
76.68 L,1237 ,2 ,2 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
75.09 L,1341 ,2 ,2 Bathrooms,Sholinganallur,Bhaggyam Srishti,Ready to move
64.58 L,1065 ,2 ,2 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
71.48 L,1110 ,3 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
1.35 Cr,1851 ,3 ,3 Bathrooms,Sholinganallur,ASV Alexandria,Ready to move
65 L,1058 ,2 ,2 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
71.48 L,1110 ,3 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
1.71 Cr,2532 ,4 ,4 Bathrooms,Sholinganallur,Sobha Palacia,Under Construction
73.72 L,1490 ,3 ,3 Bathrooms,Sholinganallur,Radiance Sapphire,Under Construction
32.99 L,1120 ,2 ,nan,Guduvancheri,Astalakshmi Park View Apartment,Ready to move
36 L,1180 ,3 ,2 Bathrooms,Guduvancheri,Lancor Abode Valley,Ready to move
34.52 L,717 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
72 L,1391 ,3 ,3 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
45 L,1180 ,2 ,2 Bathrooms,Guduvancheri,Shriram Shankari,Ready to move
51 L,1193 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
29 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Under Construction
15.77 L,478 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
45 L,1180 ,2 ,2 Bathrooms,Guduvancheri,Shriram Shankari,Ready to move
29.2 L,717 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Under Construction
52 L,1550 ,3 ,3 Bathrooms,Guduvancheri,Lancor Abode Valley,Ready to move
26 L,690 ,2 ,3 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Under Construction
34.2 L,717 ,2 ,2 Bathrooms,Guduvancheri,nan,Under Construction
13.7 L,304 ,1 ,nan,Guduvancheri,XS Real En Veedu,Ready to move
51.86 L,1023 ,2 ,nan,Guduvancheri,Lancor Lumina 2020,Under Construction
24.3 L,577 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
30 L,740 ,2 ,2 Bathrooms,Guduvancheri,nan,Under Construction
37.5 L,717 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
34 L,717 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
73.62 L,1016 ,3 ,nan,Guduvancheri,South India SIS Queenstown,Ready to move
57.15 L,1080 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
18.05 L,478 ,1 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Under Construction
16.5 L,643 ,2 ,1 Bathrooms,Guduvancheri,Wisdom Sri Sai Baba Nagar,Ready to move
34.17 L,717 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
60 L,1125 ,3 ,2 Bathrooms,Guduvancheri,Lancor Abode Valley,Ready to move
18 L,535 ,1 ,1 Bathrooms,Guduvancheri,Arun Excello Excello Haripriya,Under Construction
35.35 L,1080 ,1 ,1 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Ready to move
25.8 L,590 ,2 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
35.35 L,1080 ,2 ,1 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
24 L,650 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
50 L,1390 ,3 ,2 Bathrooms,Guduvancheri,Shriram Shankari,Under Construction
33 L,690 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
20.7 L,763 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
22 L,1000 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
34.51 L,885 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
38 L,850 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
33 L,717 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
21 L,480 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
54.44 L,737 ,2 ,nan,Guduvancheri,South India SIS Queenstown,Ready to move
33.73 L,865 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
19.47 L,590 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
32 L,910 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
14.6 L,330 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
37 L,717 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
12 L,486 ,1 ,1 Bathrooms,Guduvancheri,Wisdom Sri Sai Baba Nagar,Ready to move
31 L,590 ,2 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
30.9 L,695 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
23 L,565 ,1 ,1 Bathrooms,Guduvancheri,nan,Under Construction
26.06 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
34 L,740 ,2 ,1 Bathrooms,Guduvancheri,Arun Excello Excello Haripriya,Under Construction
25 L,655 ,1 ,1 Bathrooms,Guduvancheri,Featherlite Swargam,Ready to move
26.09 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Under Construction
60 L,1080 ,2 ,2 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
25.8 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
65.5 L,1455 ,3 ,3 Bathrooms,Guduvancheri,Shriram Shankari,Under Construction
35.4 L,720 ,2 ,2 Bathrooms,Guduvancheri,nan,Under Construction
16 L,480 ,1 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
12.04 L,271 ,1 ,nan,Guduvancheri,XS Real En Veedu,Ready to move
18.06 L,478 ,1 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Under Construction
19.36 L,605 ,1 ,nan,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
29 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
45 L,1180 ,2 ,2 Bathrooms,Guduvancheri,Shriram Shankari,Ready to move
35 L,717 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
30 L,690 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
45 L,1180 ,2 ,2 Bathrooms,Guduvancheri,Shriram Shankari,Ready to move
25 L,590 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
30 L,735 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
16.5 L,326 ,1 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
33.4 L,690 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
31 L,590 ,2 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
21.11 L,478 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
44.93 L,1390 ,1 ,1 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Ready to move
17.17 L,478 ,1 ,1 Bathrooms,Guduvancheri,nan,Under Construction
72 L,1390 ,3 ,3 Bathrooms,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
33 L,717 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
33.01 L,690 ,2 ,2 Bathrooms,Guduvancheri,nan,Under Construction
21.65 L,330 ,1 ,1 Bathrooms,Guduvancheri,nan,Under Construction
8.94 L,206 ,1 ,nan,Guduvancheri,XS Real En Veedu,Ready to move
18 L,478 ,1 ,1 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Under Construction
21 L,480 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
29 L,691 ,2 ,2 Bathrooms,Guduvancheri,XS Real En Veedu,Ready to move
29 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
27 L,590 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
22.77 L,690 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
24.01 L,717 ,1 ,2 Bathrooms,Guduvancheri,nan,Under Construction
27 L,594 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
38.57 L,989 ,2 ,2 Bathrooms,Guduvancheri,nan,Ready to move
36 L,690 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
65.3 L,1420 ,3 ,3 Bathrooms,Guduvancheri,Shriram Shankari,Under Construction
44.93 L,1390 ,3 ,nan,Guduvancheri,Shriram Joy At Shriram Temple Bells,Under Construction
21.6 L,480 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
26.06 L,590 ,2 ,1 Bathrooms,Guduvancheri,nan,Ready to move
52 L,1300 ,3 ,3 Bathrooms,Guduvancheri,nan,Under Construction
35 L,717 ,2 ,2 Bathrooms,Guduvancheri,nan,Under Construction
7.67 L,177 ,1 ,nan,Guduvancheri,XS Real En Veedu,Ready to move
12.12 L,340 ,1 ,1 Bathrooms,Guduvancheri,PKR Little India Solar Township,Ready to move
12.12 L,340 ,1 ,1 Bathrooms,Guduvancheri,PKR Little India Solar Township,Ready to move
21.6 L,480 ,1 ,1 Bathrooms,Guduvancheri,nan,Ready to move
66.55 L,922 ,3 ,nan,Guduvancheri,South India SIS Queenstown,Ready to move
27 L,590 ,2 ,2 Bathrooms,Guduvancheri,Urbanrise Jubliee Residences,Ready to move
60 L,916 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
45.99 L,1013 ,2 ,2 Bathrooms,tambaram west,nan,Under Construction
98.34 L,1457 ,3 ,3 Bathrooms,tambaram west,nan,Ready to move
79 L,1276 ,3 ,2 Bathrooms,tambaram west,nan,Under Construction
63.95 L,969 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
40 L,748 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
71.9 L,1129 ,3 ,3 Bathrooms,tambaram west,nan,Ready to move
1 Cr,1563 ,3 ,3 Bathrooms,tambaram west,nan,Ready to move
68 L,1001 ,2 ,2 Bathrooms,tambaram west,nan,Under Construction
80.58 L,1343 ,3 ,2 Bathrooms,tambaram west,nan,Under Construction
51.42 L,935 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
56.29 L,886 ,2 ,2 Bathrooms,tambaram west,nan,Under Construction
65 L,1050 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
57.45 L,900 ,2 ,2 Bathrooms,tambaram west,nan,Ready to move
